ElementID,exx,eyy,ezz,exy,eyz,exz,VonMises,Volumetric,MaxShear,Jacobian
197,0,-0.149988,-0.149988,0.00603686,8.75001e-11,0.0699158,0.0910073,-0.299976,0.102707,20
198,0,-0.0789685,-0.0789685,-0.0049747,4.56251e-11,0.0699994,0.0683293,-0.157937,0.0805212,20
199,0,-0.0306276,-0.0306276,-0.0158638,4.5625e-11,0.0683594,0.0590895,-0.0612551,0.0718274,20
200,0,-0.00615583,-0.00615583,-0.0263622,-6.25004e-12,0.0650361,0.0573719,-0.0123117,0.0702434,20
201,0,-0.921783,-0.921783,-0.0674984,-1.875e-10,0.0576491,0.440535,-1.84357,0.469362,20
202,0,-0.767274,-0.767274,-0.0756857,-3.125e-10,0.0463803,0.368887,-1.53455,0.393773,20
203,0,-0.618496,-0.618496,-0.0820094,-1.46875e-10,0.0339694,0.300435,-1.23699,0.321736,20
204,0,-0.479112,-0.479112,-0.0863137,-1.46875e-10,0.0207221,0.2372,-0.958224,0.255473,20
205,0,-0.352554,-0.352554,-0.0884927,9.71445e-17,0.00696453,0.181312,-0.705108,0.197365,20
206,0,-0.241938,-0.241938,-0.0884927,6.25e-11,-0.00696453,0.135132,-0.483876,0.150043,20
207,0,-0.149988,-0.149988,-0.0863137,-8.4375e-11,-0.0207221,0.101253,-0.299976,0.116205,20
208,0,-0.0789685,-0.0789685,-0.0820094,-8.4375e-11,-0.0339694,0.0814786,-0.157937,0.0971518,20
209,0,-0.0306276,-0.0306276,-0.0756857,-6.25001e-11,-0.0463803,0.0739015,-0.0612551,0.0900776,20
210,0,-0.00615583,-0.00615583,-0.0674984,-5.76796e-17,-0.0576491,0.0725355,-0.0123117,0.0888197,20
211,0,-0.921783,-0.921783,-0.0362116,3.12501e-11,0.0601115,0.438294,-1.84357,0.466203,20
212,0,-0.767274,-0.767274,-0.0451692,1.59595e-16,0.0537066,0.366207,-1.53455,0.390003,20
213,0,-0.618496,-0.618496,-0.0530147,-9.37498e-11,0.0459794,0.297139,-1.23699,0.31711,20
214,0,-0.479112,-0.479112,-0.0595548,-6.24999e-11,0.03712,0.23301,-0.958224,0.249623,20
215,0,-0.352554,-0.352554,-0.0646284,-6.24998e-11,0.0273466,0.175796,-0.705108,0.189732,20
216,0,-0.241938,-0.241938,-0.0681107,-1.5625e-10,0.0168998,0.127635,-0.483876,0.139851,20
217,0,-0.149988,-0.149988,-0.0699158,-8.75e-11,0.00603686,0.0910073,-0.299976,0.102707,20
218,0,-0.0789685,-0.0789685,-0.0699994,-4.5625e-11,-0.0049747,0.0683293,-0.157937,0.0805212,20
219,0,-0.0306276,-0.0306276,-0.0683594,-4.5625e-11,-0.0158638,0.0590895,-0.0612551,0.0718274,20
220,0,-0.00615583,-0.00615583,-0.0650361,6.25004e-12,-0.0263622,0.0573719,-0.0123117,0.0702434,20
221,0,-0.921783,-0.921783,-0.00492466,1.3125e-10,0.0625738,0.437544,-1.84357,0.465146,20
222,0,-0.767274,-0.767274,-0.0146527,5.8125e-11,0.061033,0.365309,-1.53455,0.388738,20
223,0,-0.618496,-0.618496,-0.02402,-1.325e-10,0.0579894,0.296032,-1.23699,0.315554,20
224,0,-0.479112,-0.479112,-0.0327958,-1.21875e-10,0.0535179,0.231597,-0.958224,0.247643,20
225,0,-0.352554,-0.352554,-0.0407641,-6.25e-11,0.0477286,0.173918,-0.705108,0.187118,20
226,0,-0.241938,-0.241938,-0.0477286,1.38778e-17,0.0407641,0.125036,-0.483876,0.136284,20
227,0,-0.149988,-0.149988,-0.0535179,-3.12492e-12,0.0327958,0.0873253,-0.299976,0.0977949,20
228,0,-0.0789685,-0.0789685,-0.0579894,7.50013e-12,0.02402,0.0633425,-0.157937,0.0741535,20
229,0,-0.0306276,-0.0306276,-0.061033,-1.08125e-10,0.0146527,0.0532442,-0.0612551,0.0646084,20
230,0,-0.00615583,-0.00615583,-0.0625738,-1.1875e-10,0.00492466,0.0513314,-0.0123117,0.0628427,20
231,0,-0.921783,-0.921783,0.0263622,2.4375e-10,0.0650361,0.438294,-1.84357,0.466203,20
232,0,-0.767274,-0.767274,0.0158638,1.91875e-10,0.0683594,0.366207,-1.53455,0.390003,20
233,0,-0.618496,-0.618496,0.0049747,-1.08125e-10,0.0699994,0.297139,-1.23699,0.31711,20
234,0,-0.479112,-0.479112,-0.00603686,3.75001e-11,0.0699158,0.23301,-0.958224,0.249623,20
235,0,-0.352554,-0.352554,-0.0168998,1.5625e-10,0.0681107,0.175796,-0.705108,0.189732,20
236,0,-0.241938,-0.241938,-0.0273466,6.25e-11,0.0646284,0.127635,-0.483876,0.139851,20
237,0,-0.149988,-0.149988,-0.03712,-1.38778e-17,0.0595548,0.0910073,-0.299976,0.102707,20
238,0,-0.0789685,-0.0789685,-0.0459794,3.125e-11,0.0530147,0.0683293,-0.157937,0.0805212,20
239,0,-0.0306276,-0.0306276,-0.0537066,6.25e-11,0.0451692,0.0590895,-0.0612551,0.0718274,20
240,0,-0.00615583,-0.00615583,-0.0601115,3.125e-11,0.0362116,0.0573719,-0.0123117,0.0702434,20
241,0,-0.921783,-0.921783,0.0576491,1.875e-10,0.0674984,0.440535,-1.84357,0.469362,20
242,0,-0.767274,-0.767274,0.0463803,3.125e-10,0.0756857,0.368887,-1.53455,0.393773,20
